Filename,Original,Translate
trad_divina_commedia_inferno_2_1.csv,mosse di prima quelle cose belle ,"primo messo in moto quelle cose giuste,"
trad_divina_commedia_inferno_2_1.csv,s  ch a bene sperar m era cagione,"in modo che, nonostante quella bestia con la pelliccia sgargiante,"
trad_divina_commedia_inferno_2_1.csv,di quella fiera a la gaetta pelle,"Potrei ancora sperare per il bene, incoraggiato"
trad_divina_commedia_inferno_2_1.csv,l ora del tempo e la dolce stagione ,"nell ora del giorno e nella stagione dolce,"
trad_divina_commedia_inferno_2_1.csv,ma non s  che paura non mi desse,solo per essere colpiti dalla paura
trad_divina_commedia_inferno_2_1.csv,la vista che m apparve d un leone.,quando ho visto un leone sulla mia strada.
trad_divina_commedia_inferno_2_1.csv,Questi parea che contra me venisse,Sembrava che stesse per saltare...
trad_divina_commedia_inferno_2_1.csv,"con la test alta e con rabbiosa fame,",la sua testa teneva alta e furiosa con la fame...
trad_divina_commedia_inferno_2_1.csv,s  che parea che l aere ne tremesse.,in modo che l aria sembrava tremare contro di lui.
trad_divina_commedia_inferno_2_1.csv,"Ed una lupa, che di tutte brame","E poi un lupo che, tutto nascosto e ossa,"
trad_divina_commedia_inferno_2_1.csv,"sembiava carca ne la sua magrezza,",sembrava carico di tutti gli appetiti
trad_divina_commedia_inferno_2_1.csv,"e molte genti f  gi  viver grame,",che hanno fatto vivere molti in miseria
trad_divina_commedia_inferno_2_1.csv,questa mi porse tanto di gravezza,"cos  ho pesato i miei spiriti con il terrore,"
trad_divina_commedia_inferno_2_1.csv,"con la paura ch uscia di sua vista,","che si raffredd  alla vista di lei,"
trad_divina_commedia_inferno_2_1.csv,ch io perdei la speranza de l altezza.,che ho perso la speranza di fare l ascesa.
trad_divina_commedia_inferno_2_1.csv,"E qual   quei che volontieri acquista,",E come chi gioisce per i suoi guadagni
trad_divina_commedia_inferno_2_1.csv,"e giugne  l tempo che perder lo face,","ma quando arriva il momento e lui perde,"
trad_divina_commedia_inferno_2_1.csv,che  n tutti suoi pensier piange e s attrista ,"trasforma tutto il suo pensiero in tristezza e lamento,"
trad_divina_commedia_inferno_2_1.csv,"tal mi fece la bestia sanza pace,",L inquieta bestia mi ha fatto...
trad_divina_commedia_inferno_2_1.csv,"che, venendomi  ncontro, a poco a poco","venendo contro di me, passo dopo passo,"
trad_divina_commedia_inferno_2_1.csv,mi ripigneva l  dove  l sol tace.,Mi ha spinto fino a dove il sole tace.
trad_divina_commedia_inferno_2_1.csv,"Mentre ch i  rovinava in basso loco,","Mentre stavo scappando in un posto pi  basso,"
trad_divina_commedia_inferno_2_1.csv,dinanzi a li occhi mi si fu offerto,"davanti ai miei occhi mostrava una figura,"
trad_divina_commedia_inferno_2_1.csv,chi per lungo silenzio parea fioco.,"debole, nell ampio silenzio."
trad_divina_commedia_inferno_2_1.csv,"Quando vidi costui nel gran diserto,","Quando l ho visto in quel vasto deserto,"
trad_divina_commedia_inferno_2_1.csv," di me , gridai a lui,","Abbi piet  di me, qualunque cosa tu sia,"
trad_divina_commedia_inferno_2_1.csv," qual che tu sii, od ombra od omo certo! .","Ho pianto,  se ombra o uomo vivente! "
trad_divina_commedia_inferno_2_1.csv,"Rispuosemi   Non omo, omo gi  fui,","Egli rispose   Non un uomo, anche se una volta ero."
trad_divina_commedia_inferno_2_1.csv,"e li parenti miei furon lombardi,",I miei genitori venivano dalla Lombardia...
trad_divina_commedia_inferno_2_1.csv,mantoani per patr a ambedui.,Mantova era la loro patria.
trad_divina_commedia_inferno_2_1.csv,"Nacqui, ancor che fosse tardi,"," Sono nato sotto Julio, anche se in ritardo nel suo tempo,"
trad_divina_commedia_inferno_2_1.csv,e vissi a Roma sotto  l buono Augusto,"e visse a Roma, sotto il buon Augusto"
trad_divina_commedia_inferno_2_1.csv,nel tempo de li d i falsi e bugiardi.,in un epoca di falsi e bugiardi dei.
trad_divina_commedia_inferno_2_1.csv,"Poeta fui, e cantai di quel giusto", Ero un poeta e cantavo
trad_divina_commedia_inferno_2_1.csv,"figliuol d Anchise che venne di Troia,",il giusto figlio di Anchise viene da Troia
trad_divina_commedia_inferno_2_1.csv,poi che  l superbo Il  n fu combusto.,dopo che l orgoglioso Ilium fu messo a fuoco.
trad_divina_commedia_inferno_2_1.csv,Ma tu perch  ritorni a tanta noia?,"Ma tu, perche  stai tornando alla miseria?"
trad_divina_commedia_inferno_2_1.csv,perch  non sali il dilettoso monte,"Perch  non salite la vetta che d  piacere,"
trad_divina_commedia_inferno_2_1.csv,ch   principio e cagion di tutta gioia? .,origine e causa di ogni gioia?
trad_divina_commedia_inferno_2_1.csv, Or se  tu quel Virgilio e quella fonte," Sei allora Virgil, la fontana"
trad_divina_commedia_inferno_2_1.csv,"che spandi di parlar s  largo fiume? ,",che versa cos  pieno un flusso di discorso?  
trad_divina_commedia_inferno_2_1.csv,rispuos io lui con vergognosa fronte.,Gli risposi  la mia testa si   abbassata nella vergogna.
trad_divina_commedia_inferno_2_1.csv," O de li altri poeti onore e lume,"," O gloria e luce di tutti gli altri poeti,"
trad_divina_commedia_inferno_2_1.csv,vagliami  l lungo studio e  l grande amore,Lasciate che il mio lungo studio e il mio grande amore siano utili
trad_divina_commedia_inferno_2_1.csv,che m ha fatto cercar lo tuo volume.,Questo mi ha fatto scavare cosi  in profondita  nel tuo volume.
trad_divina_commedia_inferno_2_1.csv,"Tu se  lo mio maestro e  l mio autore,",Tu sei il mio insegnante e il mio autore.
trad_divina_commedia_inferno_2_1.csv,tu se  solo colui da cu  io tolsi,Sei tu quello da cui solo ho preso
trad_divina_commedia_inferno_2_1.csv,lo bello stilo che m ha fatto onore.,lo stile nobile che mi ha portato onore.
trad_divina_commedia_inferno_2_1.csv,Vedi la bestia per cu  io mi volsi ,Guarda la bestia che mi ha costretto a tornare indietro.
trad_divina_commedia_inferno_2_1.csv,"aiutami da lei, famoso saggio,","Salvami da lei, famosa salvia..."
trad_divina_commedia_inferno_2_1.csv,ch ella mi fa tremar le vene e i polsi .,Mi fa tremare vene e pulsazioni.
trad_divina_commedia_inferno_2_1.csv," A te convien tenere altro v aggio ,","   un altra strada che dovete seguire, "
trad_divina_commedia_inferno_2_1.csv,"rispuose, poi che lagrimar mi vide,","rispose   Quando mi vide piangere,"
trad_divina_commedia_inferno_2_1.csv, se vuo  campar d esto loco selvaggio ,Se tu volessi fuggire da questo posto selvaggio e selvaggio.
trad_divina_commedia_inferno_2_1.csv,"ch  questa bestia, per la qual tu gride,", Per la bestia che ti muove a gridare
trad_divina_commedia_inferno_2_1.csv,"non lascia altrui passar per la sua via,","non lascia che nessuno passi per la sua strada,"
trad_divina_commedia_inferno_2_1.csv,ma tanto lo  mpedisce che l uccide ,ma lo assilla cos  che lei lo uccida.
trad_divina_commedia_inferno_2_1.csv,"e ha natura s  malvagia e ria,",La sua natura e  cosi  viziosa e malvagia.
trad_divina_commedia_inferno_2_1.csv,"che mai non empie la bramosa voglia,",Il suo appetito avido non si sazia mai...
trad_divina_commedia_inferno_2_1.csv,e dopo  l pasto ha pi  fame che pria.,"Dopo aver nutrito,   pi  affamata che mai."
trad_divina_commedia_inferno_2_1.csv,"Molti son li animali a cui s ammoglia,","Molte sono le creature con cui si accoppia,"
trad_divina_commedia_inferno_2_1.csv,"e pi  saranno ancora, infin che  l veltro","e ci sar  ancora di pi , fino al segugio"
trad_divina_commedia_inferno_2_1.csv,"verr , che la far  morir con doglia.",verra  chi la fara  morire nel dolore.
trad_divina_commedia_inferno_2_1.csv,"Questi non ciber  terra n  peltro,", Non si nutrir  n  di terre n  di ricchezze 
trad_divina_commedia_inferno_2_1.csv,"ma sap enza, amore e virtute,","ma sulla saggezza, sull amore e sul potere."
trad_divina_commedia_inferno_2_1.csv,e sua nazion sar  tra feltro e feltro.,Tra feltro e feltro sar  la sua nascita.
trad_divina_commedia_inferno_2_1.csv,Di quella umile Italia fia salute," Egli sar  la salvezza dell Italia bassa,"
trad_divina_commedia_inferno_2_1.csv,"per cui mor  la vergine Cammilla,","per la quale fanciulla Camilla, Euryalus,"
trad_divina_commedia_inferno_2_1.csv,Eurialo e Turno e Niso di ferute.,Turno e Niso morirono per le loro ferite.
trad_divina_commedia_inferno_2_1.csv,"Questi la caccer  per ogne villa,",Caccer  la bestia per ogni citt 
trad_divina_commedia_inferno_2_1.csv,"fin che l avr  rimessa ne lo  nferno,",finch  non l ha rimandata all Inferno
trad_divina_commedia_inferno_2_1.csv,l  onde  nvidia prima dipartilla.,Da dove l invidia primordiale l ha lasciata andare.
trad_divina_commedia_inferno_2_1.csv,Ond io per lo tuo me  penso e discerno," Per questo, per il tuo bene, penso che sia saggio"
trad_divina_commedia_inferno_2_1.csv,"che tu mi segui, e io sar  tua guida,","tu mi seguirai  io sar  la tua guida,"
trad_divina_commedia_inferno_2_1.csv,e trarrotti di qui per loco etterno ,"guidandovi, da qui, attraverso un luogo eterno"
trad_divina_commedia_inferno_2_1.csv,"ove udirai le disperate strida,", dove sentirete grida disperate
trad_divina_commedia_inferno_2_1.csv,"vedrai li antichi spiriti dolenti,",e vedere quelle anime antiche nel dolore
trad_divina_commedia_inferno_2_1.csv,ch a la seconda morte ciascun grida ,mentre lamentano la loro seconda morte.
trad_divina_commedia_inferno_2_1.csv,e vederai color che son contenti, Allora vedrete quelli che sono contenti
trad_divina_commedia_inferno_2_1.csv,"nel foco, perch  speran di venire","bruciare perch  sperano di venire,"
trad_divina_commedia_inferno_2_1.csv,quando che sia a le beate genti.,"quando pu  essere, tra i beati."
trad_divina_commedia_inferno_2_1.csv,"A le quai poi se tu vorrai salire,","Se desiderate ascendere a questi,"
trad_divina_commedia_inferno_2_1.csv,anima fia a ci  pi  di me degna ,Troverai un anima piu  adatta a guidare di me 
trad_divina_commedia_inferno_2_1.csv,con lei ti lascer  nel mio partire ,Ti lascero  nelle sue cure quando me ne andro .
trad_divina_commedia_inferno_2_1.csv,"ch  quello imperador che l  s  regna,", Per l imperatore che ha il suo posto in alto
trad_divina_commedia_inferno_2_1.csv,"perch i  fu  ribellante a la sua legge,","non vuole, perch  ero un ribelle alla sua legge,"
trad_divina_commedia_inferno_2_1.csv,non vuol che  n sua citt  per me si vegna.,che dovrei entrare nella Sua citt .
trad_divina_commedia_inferno_2_1.csv,In tutte parti impera e quivi regge ,In ogni parte regna e l  regna.
trad_divina_commedia_inferno_2_1.csv,quivi   la sua citt  e l alto seggio ,C   la Sua citt  e il Suo alto seggio.
trad_divina_commedia_inferno_2_1.csv,oh felice colui cu  ivi elegge! .,Felice colui che Egli sceglie di essere l !. 
trad_divina_commedia_inferno_2_1.csv,"E io a lui   Poeta, io ti richeggio","E io risposi   Poeta, ti supplico"
trad_divina_commedia_inferno_2_1.csv,"per quello Dio che tu non conoscesti,","per il Dio che non conoscevi,"
trad_divina_commedia_inferno_2_1.csv,"acci  ch io fugga questo male e peggio,","perch  io possa sfuggire a questo male e peggio,"
trad_divina_commedia_inferno_2_1.csv,"che tu mi meni l  dov or dicesti,",Portami nei regni che hai appena descritto.
trad_divina_commedia_inferno_2_1.csv,s  ch io veggia la porta di san Pietro,per vedere la porta di San Pietro
trad_divina_commedia_inferno_2_1.csv,e color cui tu fai cotanto mesti .,e quelli che mi dici sono cos  dolorosi. 
trad_divina_commedia_inferno_2_1.csv,"Allor si mosse, e io li tenni dietro.",Poi se n e  andato e io sono venuto dietro di lui.
trad_divina_commedia_inferno_2_2.csv,"Lo giorno se n andava, e l aere bruno",Il giorno era in partenza e l aria oscurata
trad_divina_commedia_inferno_2_2.csv,toglieva li animai che sono in terra,liberarono le creature della terra
trad_divina_commedia_inferno_2_2.csv,da le fatiche loro  e io sol uno,"dal loro lavoro, e io, da solo,"
trad_divina_commedia_inferno_2_2.csv,m apparecchiava a sostener la guerra,preparati ad affrontare la lotta...
trad_divina_commedia_inferno_2_2.csv,"s  del cammino e s  de la pietate,",della via e della sua piet ...
trad_divina_commedia_inferno_2_2.csv,che ritrarr  la mente che non erra.,"che la memoria, infallibile, deve ripercorrere."
trad_divina_commedia_inferno_2_2.csv,"O muse, o alto ingegno, or m aiutate ","O Muse, o nobile genio, aiutami ora!"
trad_divina_commedia_inferno_2_2.csv,"o mente che scrivesti ci  ch io vidi,","O memoria, che ha impostato quello che ho visto,"
trad_divina_commedia_inferno_2_2.csv,qui si parr  la tua nobilitate.,qui sar  mostrato il vostro valore.
trad_divina_commedia_inferno_2_2.csv,"Io cominciai   Poeta che mi guidi,","Cominciai   Poeta, tu che mi guidi,"
trad_divina_commedia_inferno_2_2.csv,"guarda la mia virt  s ell    possente,",Pensa se i miei poteri saranno sufficienti.
trad_divina_commedia_inferno_2_2.csv,prima ch a l alto passo tu mi fidi.,prima che ti fidi di me a questo arduo passaggio.
trad_divina_commedia_inferno_2_2.csv,"Tu dici che di Silv o il parente,", Si racconta del padre di Sylvius
trad_divina_commedia_inferno_2_2.csv,"corruttibile ancora, ad immortale","che egli, ancora soggetto a corruzione, and "
trad_divina_commedia_inferno_2_2.csv,"secolo and , e fu sensibilmente.",al mondo eterno mentre   nella carne.
trad_divina_commedia_inferno_2_2.csv,"Per , se l avversario d ogne male",Ma che l avversario di ogni male ha mostrato
trad_divina_commedia_inferno_2_2.csv,"cortese i fu, pensando l alto effetto","un tale favore a lui, considerando chi e che cosa era,"
trad_divina_commedia_inferno_2_2.csv,"ch uscir dovea di lui, e  l chi e  l quale","e l altissimo sequel che scaturirebbe da lui,"
trad_divina_commedia_inferno_2_2.csv,non pare indegno ad omo d intelletto ,Non sembra inadatto ad un uomo che capisce.
trad_divina_commedia_inferno_2_2.csv,ch e  fu de l alma Roma e di suo impero,Perch  nell Empireo fu scelto
trad_divina_commedia_inferno_2_2.csv,ne l empireo ciel per padre eletto ,"a padre santa Roma e al suo dominio,"
trad_divina_commedia_inferno_2_2.csv,"la quale e  l quale, a voler dir lo vero,", entrambi questi stabiliti    se volessimo parlare
trad_divina_commedia_inferno_2_2.csv,fu stabilita per lo loco santo,la verit     essere il recinto sacro dove
trad_divina_commedia_inferno_2_2.csv,u  siede il successor del maggior Piero.,I successori del grande Pietro hanno il loro trono.
trad_divina_commedia_inferno_2_2.csv,"Per quest andata onde li dai tu vanto,"," In questo cammino, per il quale gli concedi la gloria,"
trad_divina_commedia_inferno_2_2.csv,intese cose che furon cagione,ha sentito le parole che lo hanno spinto
trad_divina_commedia_inferno_2_2.csv,di sua vittoria e del papale ammanto.,alla vittoria e preparato il mantello papale.
trad_divina_commedia_inferno_2_2.csv,"Andovvi poi lo Vas d elez one,","Pi  tardi, la nave scelta and  l ."
trad_divina_commedia_inferno_2_2.csv,per recarne conforto a quella fede,"per riportare conferma della nostra fede,"
trad_divina_commedia_inferno_2_2.csv,ch   principio a la via di salvazione.,il primo passo nel nostro cammino verso la salvezza.
trad_divina_commedia_inferno_2_2.csv,"Ma io, perch  venirvi? o chi  l concede?",  Ma perch  dovrei andarci? Chi lo permette?
trad_divina_commedia_inferno_2_2.csv,"Io non En a, io non Paulo sono ","Non sono Enea, n  sono Paolo."
trad_divina_commedia_inferno_2_2.csv,me degno a ci  n  io n  altri  l crede.,Ne  io ne  nessuno mi crede adatto a questo.
trad_divina_commedia_inferno_2_2.csv,"Per che, se del venire io m abbandono,","E quindi, se mi impegno a venire,"
trad_divina_commedia_inferno_2_2.csv,temo che la venuta non sia folle.,Temo che possa essere una follia.
trad_divina_commedia_inferno_2_2.csv,Se  savio  intendi me  ch i  non ragiono .,Tu capisci quello che io non posso esprimere. 
trad_divina_commedia_inferno_2_2.csv,E qual   quei che disvuol ci  che volle,"E come colui che non vuole ci  che ha voluto,"
trad_divina_commedia_inferno_2_2.csv,"e per novi pensier cangia proposta,",cambiare il suo intento di ripensamento
trad_divina_commedia_inferno_2_2.csv,"s  che dal cominciar tutto si tolle,","perch  dia quello che ha cominciato,"
trad_divina_commedia_inferno_2_2.csv,"tal mi fec  o  n quella oscura costa,",un tale uomo ero su quel pendio oscuro.
trad_divina_commedia_inferno_2_2.csv,"perch , pensando, consumai la  mpresa",Con troppo pensiero che mi ero sciolto
trad_divina_commedia_inferno_2_2.csv,che fu nel cominciar cotanto tosta.,l impresa cos  veloce nel suo inizio.
trad_divina_commedia_inferno_2_2.csv," S i  ho ben la parola tua intesa ,"," Se ho capito bene le tue parole,  "
trad_divina_commedia_inferno_2_2.csv,"rispuose del magnanimo quell ombra,","rispose l ombra di quella grande anima,"
trad_divina_commedia_inferno_2_2.csv, l anima tua   da viltade offesa ,"Il tuo spirito   assalito dalla codardia,"
trad_divina_commedia_inferno_2_2.csv,la qual molte f ate l omo ingombra, che molte volte pesa tanto su un uomo
trad_divina_commedia_inferno_2_2.csv,"s  che d onrata impresa lo rivolve,","lo allontana dalla nobile impresa,"
trad_divina_commedia_inferno_2_2.csv,come falso veder bestia quand ombra.,il modo in cui una bestia fugge dall ombra.
trad_divina_commedia_inferno_2_2.csv,"Da questa tema acci  che tu ti solve,",Per liberarti da questa paura.
trad_divina_commedia_inferno_2_2.csv,dirotti perch io venni e quel ch io  ntesi,Ti diro  perche  sono venuto e per quello che ho sentito.
trad_divina_commedia_inferno_2_2.csv,nel primo punto che di te mi dolve.,quando per la prima volta ho provato compassione per te.
trad_divina_commedia_inferno_2_2.csv,"Io era tra color che son sospesi,", Ero tra quelli che sono stati sospesi
trad_divina_commedia_inferno_2_2.csv,"e donna mi chiam  beata e bella,","quando una signora mi ha chiamato, cos  benedetta e cos  bella"
trad_divina_commedia_inferno_2_2.csv,tal che di comandare io la richiesi.,che l ho implorata di comandarmi.
trad_divina_commedia_inferno_2_2.csv,Lucevan li occhi suoi pi  che la stella ,I suoi occhi brillavano pi  delle stelle.
trad_divina_commedia_inferno_2_2.csv,"e cominciommi a dir soave e piana,","Gentile e chiaro, le parole che mi ha detto..."
trad_divina_commedia_inferno_2_2.csv,"con angelica voce, in sua favella ",La voce di un angelo era nel suo discorso 
trad_divina_commedia_inferno_2_2.csv," O anima cortese mantoana,"," O cortese spirito mantuano,"
trad_divina_commedia_inferno_2_2.csv,"di cui la fama ancor nel mondo dura,",la cui fama continua nel mondo
trad_divina_commedia_inferno_2_2.csv,"e durer  quanto  l mondo lontana,","e continuer  finch  il mondo durer ,"
trad_divina_commedia_inferno_2_2.csv,"l amico mio, e non de la ventura,"," Il mio amico, che non e  amico della Fortuna,"
trad_divina_commedia_inferno_2_2.csv,ne la diserta piaggia   impedito,  cos  ostacolato sulla sua strada sul pendio del deserto
trad_divina_commedia_inferno_2_2.csv,"s  nel cammin, che v lt   per paura ","che, nel suo terrore,   tornato indietro,"
trad_divina_commedia_inferno_2_2.csv,"e temo che non sia gi  s  smarrito,"," e, da quello che ho sentito di lui in Cielo,"
trad_divina_commedia_inferno_2_2.csv,"ch io mi sia tardi al soccorso levata,",Temo che sia andato cos  lontano.
trad_divina_commedia_inferno_2_2.csv,per quel ch i  ho di lui nel cielo udito.,che mi sono alzato troppo tardi per aiutarlo.
trad_divina_commedia_inferno_2_2.csv,"Or movi, e con la tua parola ornata","  Esci, e con le tue parole lucide"
trad_divina_commedia_inferno_2_2.csv,"e con ci  c ha mestieri al suo campare,","e tutto ci  che   necessario per la sua sicurezza,"
trad_divina_commedia_inferno_2_2.csv,l aiuta s  ch i  ne sia consolata.,"Vai in suo aiuto, perch  io possa essere consolato."
trad_divina_commedia_inferno_2_2.csv,I  son Beatrice che ti faccio andare , Io che ti ho ordinato di andare sono Beatrice.
trad_divina_commedia_inferno_2_2.csv,vegno del loco ove tornar disio ,Vengo da dove desidero tornare.
trad_divina_commedia_inferno_2_2.csv,"amor mi mosse, che mi fa parlare.",L amore che mi ha commosso mi fa parlare.
trad_divina_commedia_inferno_2_2.csv,"Quando sar  dinanzi al segnor mio,", E quando sar  davanti al mio Signore
trad_divina_commedia_inferno_2_2.csv,di te mi loder  sovente a lui .,Loder  spesso di voi a Lui. 
trad_divina_commedia_inferno_2_2.csv,"Tacette allora, e poi comincia  io ",Poi lei tacque e io cominciai 
trad_divina_commedia_inferno_2_2.csv, O donna di virt  sola per cui, O donna di tale virt  che solo per essa
trad_divina_commedia_inferno_2_2.csv,l umana spezie eccede ogne contento,la razza umana supera tutto ci  che mente
trad_divina_commedia_inferno_2_2.csv,"di quel ciel c ha minor li cerchi sui,","nel pi  piccolo dei cieli,"
trad_divina_commedia_inferno_2_2.csv,"tanto m aggrada il tuo comandamento,", Sono cosi  felice al tuo comando che il mio consenso...
trad_divina_commedia_inferno_2_2.csv,"che l ubidir, se gi  fosse, m   tardi ","se fosse gi  dato, sarebbe dato in ritardo."
trad_divina_commedia_inferno_2_2.csv,pi  non t   uo  ch aprirmi il tuo talento.,Devi solo far conoscere il tuo desiderio.
trad_divina_commedia_inferno_2_2.csv,Ma dimmi la cagion che non ti guardi, Ma dimmi perch  non esitate
trad_divina_commedia_inferno_2_2.csv,de lo scender qua giuso in questo centro,per scendere nel centro della terra
trad_divina_commedia_inferno_2_2.csv,de l ampio loco ove tornar tu ardi .,dallo spazio senza confini che anela a voi. 
trad_divina_commedia_inferno_2_2.csv," Da che tu vuo  saver cotanto a dentro,","  Poich  sei cos  ansioso di saperne di pi , "
trad_divina_commedia_inferno_2_2.csv,"dirotti brievemente , mi rispuose,",rispose   Sar  breve nel dirvi
trad_divina_commedia_inferno_2_2.csv, perch i  non temo di venir qua entro.,perch  non ho paura di entrare qui.
trad_divina_commedia_inferno_2_2.csv,Temer si dee di sole quelle cose, Dovremmo aver paura di queste cose da sole. 
trad_divina_commedia_inferno_2_2.csv,c hanno potenza di fare altrui male ,che hanno il potere di fare del male.
trad_divina_commedia_inferno_2_2.csv,"de l altre no, ch  non son paurose.",Nient altro   spaventoso.
trad_divina_commedia_inferno_2_2.csv,"I  son fatta da Dio, sua merc , tale,",  Sono fatto tale per la grazia di Dio
trad_divina_commedia_inferno_2_2.csv,"che la vostra miseria non mi tange,","che la tua afflizione non tocca,"
trad_divina_commedia_inferno_2_2.csv,n  fiamma d esto  ncendio non m assale.,e questi incendi non possono assalirmi.
trad_divina_commedia_inferno_2_2.csv,Donna   gentil nel ciel che si compiange, C e  una signora gentile in Paradiso cosi  commossa
trad_divina_commedia_inferno_2_2.csv,"di questo  mpedimento ov  io ti mando,","per piet  a suo pericolo, rompe severo giudizio"
trad_divina_commedia_inferno_2_2.csv,s  che duro giudicio l  s  frange.,lass  e mi ordina di mandarti da lui.
trad_divina_commedia_inferno_2_2.csv,Questa chiese Lucia in suo dimando,  Ha convocato Lucy e ha fatto questa richiesta 
trad_divina_commedia_inferno_2_2.csv,e disse    Or ha bisogno il tuo fedele,  Il tuo fedele ora ha bisogno di te  
trad_divina_commedia_inferno_2_2.csv,"di te, e io a te lo raccomando  .",e lo raccomando alle vostre cure. 
trad_divina_commedia_inferno_2_2.csv,"Lucia, nimica di ciascun crudele,","Lucy, il nemico di ogni crudelt ,"
trad_divina_commedia_inferno_2_2.csv,"si mosse, e venne al loco dov i  era,",si alz  e venne a dove mi sedevo
trad_divina_commedia_inferno_2_2.csv,che mi sedea con l antica Rachele.,"al Venerabile fianco di Rachel,"
trad_divina_commedia_inferno_2_2.csv,"Disse    Beatrice, loda di Dio vera,","  e disse   Beatrice, vera lode di Dio,"
